,Time,best_x_avg,best_y_avg,target_x,target_y,error_x,error_y,error
706,70.6,7.840000000000001,-3.5,9.14,-3.64,-1.2999999999999998,0.14000000000000012,1.3075167302944921
707,70.7,8.02,-3.56,8.91,-3.89,-0.8900000000000006,0.33000000000000007,0.9492101980067434
708,70.8,8.12,-3.78,8.82,-3.57,-0.7000000000000011,-0.20999999999999996,0.7308214556237395
709,70.9,8.239999999999998,-3.7399999999999998,9.11,-3.74,-0.870000000000001,4.440892098500626e-16,0.870000000000001
710,71.0,8.059999999999999,-3.62,9.44,-3.79,-1.3800000000000008,0.16999999999999993,1.3904315876734108
711,71.1,8.2,-3.7,9.25,-4.06,-1.0500000000000007,0.35999999999999943,1.1100000000000005
712,71.2,8.2,-3.7,9.19,-3.74,-0.9900000000000002,0.040000000000000036,0.9908077512817511
713,71.3,8.2,-3.7,9.47,-3.92,-1.2700000000000014,0.21999999999999975,1.288914271780712
714,71.4,8.2,-3.7,9.74,-4.11,-1.540000000000001,0.41000000000000014,1.593643623900903
715,71.5,8.2,-3.7,9.43,-4.23,-1.2300000000000004,0.5300000000000002,1.3393281898026344
716,71.6,8.2,-3.7,9.69,-4.44,-1.4900000000000002,0.7400000000000002,1.6636405861844081
717,71.7,8.2,-3.7,9.39,-4.59,-1.1900000000000013,0.8899999999999997,1.4860013458944115
718,71.8,8.2,-3.7,9.32,-4.92,-1.120000000000001,1.2199999999999998,1.6561400906928139
719,71.9,8.2,-3.7,9.05,-4.72,-0.8500000000000014,1.0199999999999996,1.3277424449041317
720,72.0,8.28,-3.72,9.29,-4.48,-1.0099999999999998,0.7600000000000002,1.2640015822774906
721,72.1,8.2,-3.7,9.13,-4.19,-0.9300000000000015,0.4900000000000002,1.0511898020814334
722,72.2,8.2,-3.7,9.06,-4.51,-0.8600000000000012,0.8099999999999996,1.1813974775662937
723,72.3,8.2,-3.7,9.29,-4.27,-1.0899999999999999,0.5699999999999994,1.230040649734796
724,72.4,8.7,-4.0200000000000005,9.06,-4.03,-0.3600000000000012,0.009999999999999787,0.36013886210738333
725,72.5,8.719999999999999,-4.14,9.33,-4.23,-0.6100000000000012,0.09000000000000075,0.6166036003787212
726,72.6,8.7,-4.1,9.66,-4.16,-0.9600000000000009,0.0600000000000005,0.9618731725128847
727,72.7,8.7,-4.1,9.58,-3.83,-0.8800000000000008,-0.2699999999999996,0.9204890004774643
728,72.8,8.7,-4.1,9.89,-3.7,-1.1900000000000013,-0.39999999999999947,1.2554282137979864
729,72.9,8.7,-4.1,9.63,-3.5,-0.9300000000000015,-0.5999999999999996,1.106752004741804
730,73.0,8.74,-4.08,9.7,-3.82,-0.9599999999999991,-0.26000000000000023,0.9945853407325076
731,73.1,8.7,-4.1,9.61,-4.14,-0.9100000000000001,0.040000000000000036,0.9108786966440704
732,73.2,8.7,-4.1,9.69,-3.82,-0.9900000000000002,-0.2799999999999998,1.0288342918079667
733,73.3,8.7,-4.1,10.01,-3.72,-1.3100000000000005,-0.37999999999999945,1.364001466274872
734,73.4,8.7,-4.1,9.12,-3.47,-0.41999999999999993,-0.6299999999999994,0.7571657678474373
735,73.5,8.7,-4.1,9.45,-3.42,-0.75,-0.6799999999999997,1.0123734488813896
736,73.6,8.7,-4.1,9.3,-3.72,-0.6000000000000014,-0.37999999999999945,0.7102112361825891
737,73.7,8.7,-4.1,8.97,-3.77,-0.27000000000000135,-0.3299999999999996,0.4263801121065574
738,73.8,8.9,-3.7600000000000002,8.85,-4.09,0.05000000000000071,0.3299999999999996,0.33376638536557246
739,73.9,8.9,-3.8,8.95,-3.77,-0.049999999999998934,-0.029999999999999805,0.05830951894845199
740,74.0,8.9,-3.9199999999999995,8.81,-3.46,0.08999999999999986,-0.4599999999999995,0.4687216658103181
741,74.1,8.9,-3.8,9.06,-3.24,-0.16000000000000014,-0.5599999999999996,0.5824087911424412
742,74.2,8.9,-3.8,8.81,-3.01,0.08999999999999986,-0.79,0.7951100552753688
743,74.3,8.9,-3.8,8.56,-3.23,0.33999999999999986,-0.5699999999999998,0.6637017402418045
744,74.4,8.9,-3.8,8.24,-3.14,0.6600000000000001,-0.6599999999999997,0.9333809511662426
745,74.5,8.9,-3.8,8.06,-3.43,0.8399999999999999,-0.36999999999999966,0.9178779875342907
746,74.6,8.9,-3.8,8.37,-3.55,0.5300000000000011,-0.25,0.5860034129593454
747,74.7,8.9,-3.8,8.4,-3.22,0.5,-0.5799999999999996,0.7657675887630656
748,74.8,8.9,-3.8,8.16,-3.45,0.7400000000000002,-0.34999999999999964,0.8185963596303125
749,74.9,8.9,-3.8,8.05,-3.13,0.8499999999999996,-0.6699999999999999,1.0823123393919147
750,75.0,8.76,-3.8200000000000003,7.73,-3.22,1.0299999999999994,-0.6000000000000001,1.1920151005754913
751,75.1,8.459999999999999,-3.7399999999999998,8.06,-3.28,0.3999999999999986,-0.45999999999999996,0.6095900261651258
752,75.2,8.62,-3.4200000000000004,7.98,-3.6,0.6399999999999988,0.17999999999999972,0.6648308055437853
753,75.3,8.2,-3.6,7.69,-3.44,0.5099999999999989,-0.16000000000000014,0.5345091205957098
754,75.4,8.2,-3.6,7.59,-3.12,0.6099999999999994,-0.48,0.7762087348130008
755,75.5,8.2,-3.6,7.34,-2.9,0.8599999999999994,-0.7000000000000002,1.1088733020503285
756,75.6,8.2,-3.6,7.63,-2.74,0.5699999999999994,-0.8599999999999999,1.0317460927960906
757,75.7,8.2,-3.6,7.89,-2.52,0.3099999999999996,-1.08,1.1236102527122116
