Time,ID,Ne,Area Coverage
4.5,13,5.0,52.36
4.5,14,4.0,62.832
4.5,15,3.0,78.54
4.5,16,0.0,314.159
4.5,17,1.0,157.08
4.5,18,2.0,104.72
4.5,19,1.0,157.08
4.5,20,1.0,157.08
4.5,21,4.0,62.832
4.5,22,3.0,78.54
4.5,23,2.0,104.72
4.5,24,4.0,62.832
4.6,5,0.0,314.159
4.6,6,1.0,157.08
4.6,7,5.0,52.36
4.6,8,4.0,62.832
4.6,9,4.0,62.832
4.6,10,2.0,104.72
4.6,11,2.0,104.72
4.6,12,2.0,104.72
4.6,13,5.0,52.36
4.6,14,4.0,62.832
4.6,15,3.0,78.54
4.6,16,0.0,314.159
4.6,17,1.0,157.08
4.6,18,2.0,104.72
4.6,19,1.0,157.08
4.6,20,1.0,157.08
4.6,21,4.0,62.832
4.6,22,3.0,78.54
4.6,23,2.0,104.72
4.6,24,4.0,62.832
4.7,5,0.0,314.159
4.7,6,1.0,157.08
4.7,7,5.0,52.36
4.7,8,4.0,62.832
4.7,9,4.0,62.832
4.7,10,2.0,104.72
4.7,11,2.0,104.72
4.7,12,2.0,104.72
4.7,13,5.0,52.36
4.7,14,4.0,62.832
4.7,15,3.0,78.54
4.7,16,0.0,314.159
4.7,17,1.0,157.08
4.7,18,2.0,104.72
4.7,19,1.0,157.08
4.7,20,1.0,157.08
4.7,21,3.0,78.54
4.7,22,3.0,78.54
4.7,23,2.0,104.72
4.7,24,3.0,78.54
4.8,5,0.0,314.159
4.8,6,1.0,157.08
4.8,7,5.0,52.36
4.8,8,4.0,62.832
4.8,9,4.0,62.832
4.8,10,2.0,104.72
4.8,11,2.0,104.72
4.8,12,2.0,104.72
4.8,13,5.0,52.36
4.8,14,4.0,62.832
4.8,15,3.0,78.54
4.8,16,0.0,314.159
4.8,17,1.0,157.08
4.8,18,2.0,104.72
4.8,19,1.0,157.08
4.8,20,1.0,157.08
4.8,21,3.0,78.54
4.8,22,3.0,78.54
4.8,23,2.0,104.72
4.8,24,3.0,78.54
4.9,5,0.0,314.159
4.9,6,1.0,157.08
4.9,7,5.0,52.36
4.9,8,4.0,62.832
4.9,9,4.0,62.832
4.9,10,2.0,104.72
4.9,11,2.0,104.72
4.9,12,2.0,104.72
4.9,13,5.0,52.36
4.9,14,4.0,62.832
4.9,15,4.0,62.832
4.9,16,0.0,314.159
4.9,17,1.0,157.08
4.9,18,2.0,104.72
4.9,19,1.0,157.08
4.9,20,1.0,157.08
4.9,21,3.0,78.54
4.9,22,4.0,62.832
4.9,23,2.0,104.72
4.9,24,3.0,78.54
